"Table PORT0101: All UK major and minor port freight tonnage traffic, by port and year (filter by direction) from 1965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To view the data in this table, you will need to 'enable editing'. You can either click on the yellow banner at the top or use F2 and select enable content. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains one table and formulas are used in the table. To view all unfiltered data please see the data tab.. Notes are used throughout, please see the notes tab to find the related note text.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, 0 is used for a true zero, ""z"" is not applicable and ""LOW"" means the figure is less than half of the smallest unit displayed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The figures in this table are in thousand tonnes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To see the years prior to 2000, please click the plus symbol at the top of the page above column AE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Filters are used throughout this table. The drop-down menu is available in cell B8, to use the filter, select the cell, then either click on the arrow and select the value or hold alt and the down arrow then use the left and right arrows to select the value. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direction,Both Directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ports,Port Group [Note 1],Port Type,1965,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,"2020 
[Note 11, 12] ",2021 [Note 12],2022
Aberdeen,Scotland East Coast,Major Port,"1,266","1,327","1,512","1,625","1,459","1,534","2,016","2,033","2,042","1,933","2,213","2,317","2,495","2,227","2,437","2,879","3,164","3,920","4,057","3,979","3,800","3,479","3,644","3,992","4,013","3,786","3,368","3,377","3,845","3,645","3,233","3,888","4,609","4,663","5,131","4,833","4,570","4,164","4,165","4,493","4,263","4,231","4,376","3,770","4,058","4,138","4,195","3,387","3,563","3,404"
Belfast,Northern Ireland,Major Port,z,z,z,z,z,z,z,"5,796","5,008","5,186","5,719","5,247","5,983","6,131","6,943","7,315","7,221","8,065","8,448","9,517","9,279","9,898","10,457","12,480","12,344","12,510","12,862","12,484","13,402","12,825","13,201","13,559","13,500","13,514","13,416","13,040","12,050","12,827","13,561","15,186","16,783","16,793","16,700","17,553","18,226","18,939","18,518","18,578","19,867","18,372"
Boston,Wash & Northern E Anglia,Major Port,618,541,719,781,825,903,"1,029",974,"1,033","1,163","1,117","1,361","1,416","1,538","1,479","1,404","1,311","1,264","1,201","1,297","1,328","1,083","1,081","1,299","1,235","1,258","1,179","1,265",847,766,"1,035",705,767,834,836,961,702,951,838,829,724,824,852,850,738,711,821,761,842,650
Bristol,Bristol Channel,Major Port,"9,285","7,491","5,289","4,779","4,794","5,194","5,281","4,918","4,088","3,936","3,942","3,813","3,834","4,085","4,026","4,454","4,612","4,852","4,399","4,897","5,057","7,074","7,319","5,907","7,041","7,710","7,615","9,647","10,895","10,083","11,439","10,759","11,206","12,261","11,178","11,527","8,999","7,272","8,202","10,762","10,633","11,421","8,877","8,531","8,741","8,446","8,190","6,479","7,031","8,528"
Cairnryan [Note 2],Scotland West Coast,Major Port,z,z,z,z,z,z,z,948,z,957,922,952,"1,050","1,054","1,163","1,171","1,233","1,114",949,"1,073","1,234","1,233","1,991","2,025","2,227","2,504","2,437","2,283","2,014","2,099","2,328","2,849","3,274","3,145","3,163","2,928","2,572","2,634","2,932","2,610","2,364","2,368","2,548","2,740","2,847","2,857","2,705","2,695","3,129","3,663"
Cardiff,Bristol Channel,Major Port,"2,654","3,697","3,245","3,133","2,876","1,906","2,534","2,618","1,972","1,593","1,829","1,847","2,011","2,273","2,615","2,129","2,270","2,466","2,464","2,535","2,280","2,484","2,369","2,541","2,857","2,452","2,661","2,699","2,739","2,209","2,287","2,504","2,450","2,873","3,057","2,596","1,992","2,232","2,025","1,830","1,712","1,731","1,791","1,604","1,574","1,770","1,697","1,333","1,573","1,317"
Clyde,Scotland West Coast,Major Port,"15,304","18,034","13,585","11,433","10,273","10,785","11,816","8,845","7,870","9,022","9,557","10,505","9,912","9,694","8,665","9,328","8,928","8,880","8,191","6,193","4,527","6,781","7,573","7,201","7,494","8,127","8,495","7,224","11,069","9,733","9,214","11,507","15,737","14,981","12,063","14,338","12,552","12,283","13,431","15,421","14,783","16,201","12,484","8,742","8,865","9,087","8,801","6,933","8,409","9,812"
Cromarty Firth [Note 3],Scotland East Coast,Major Port,220,271,"1,297",786,811,806,730,799,"1,070","2,160","1,813","2,734","3,130","2,294","1,795","1,729","1,610","1,386","1,311",992,"1,187","2,470","2,264","4,328","3,971","4,456","2,336","2,329","2,145","2,658","3,501","3,208","3,325","3,206","3,502","2,252","2,864","3,663","4,020","2,628","3,378","1,591",262,395,227,275,929,421,424,483
Dover,Thames and Kent,Major Port,"1,393","2,102","3,716","4,156","5,092","5,546","6,402","6,678","6,908","7,696","8,526","8,993","9,267","9,851","10,644","10,417","13,545","13,031","12,044","13,117","13,773","14,115","12,671","13,224","19,073","17,690","19,387","17,434","19,074","20,212","18,796","20,753","21,145","23,805","25,144","24,344","25,087","24,093","24,251","22,902","25,295","27,605","27,299","27,326","26,223","24,943","23,433","21,889","19,874","18,369"
Dundee,Scotland East Coast,Major Port,539,957,855,968,936,865,960,"1,018",760,776,847,936,921,935,962,977,"1,049","1,274","1,208","1,055",983,"1,032","1,076","1,150","1,124","1,061","1,072","1,047","1,101","1,103","1,016","1,058","1,222","1,202","1,035",978,810,962,929,842,815,517,515,534,566,608,503,430,452,535
Felixstowe,Haven,Major Port,z,"2,242","4,116","4,403","4,552","4,769","5,313","6,536","6,585","7,600","8,360","9,311","10,071","10,808","13,268","15,602","16,502","16,448","16,126","18,049","20,333","22,116","24,082","25,778","28,881","30,025","31,466","29,686","28,354","25,119","22,282","23,413","23,144","24,370","25,685","24,988","24,267","25,756","26,817","26,268","26,214","28,127","27,971","28,202","29,028","28,268","25,344","23,081","21,469","22,197"
Fishguard,West and North Wales,Major Port,60,87,230,204,240,277,218,289,239,244,225,255,286,399,383,270,303,427,402,247,449,442,479,442,420,387,395,421,341,408,474,522,513,597,572,560,366,416,345,335,342,378,378,304,381,443,505,415,207,242
Fleetwood [Note 10],Lancs and Cumbria,Major Port,259,253,"1,025","1,490","1,524","1,882","1,824","1,944","1,894","2,070","2,113","2,031","1,879","2,076","1,846","1,138","1,050","1,381","1,401","1,244","1,442","1,198","1,236","1,288","1,362","1,106","1,368","1,530","1,608","1,521","1,624","1,662","1,635","1,670","1,772","1,571","1,327","1,137",z,z,z,z,z,z,z,z,z,z,z,z
Forth,Scotland East Coast,Major Port,"6,079","8,278","8,405","13,741","25,077","28,816","29,133","28,794","26,621","27,537","28,767","29,812","29,054","28,790","30,049","29,015","22,866","25,433","22,864","23,270","26,374","44,359","47,083","45,583","43,102","44,400","45,396","41,143","41,607","42,202","38,752","34,892","34,218","31,556","36,681","39,054","36,690","34,335","27,878","25,332","26,365","24,608","27,074","27,439","27,544","26,587","25,221","23,032","19,777","20,529"
Fowey,West Country,Major Port,640,875,979,"1,041","1,143","1,105","1,194","1,190","1,078","1,006","1,155","1,351","1,511","1,585","1,702","1,860","1,759","1,566","1,440","1,416","1,550","1,569","1,656","1,470","1,538","1,624","1,451","1,527","1,535","1,453","1,447","1,330","1,270","1,103","1,121",935,774,773,688,641,656,581,513,493,482,449,346,239,388,353
Glensanda,Scotland West Coast,Major Port,z,z,z,z,z,z,z,z,z,z,z,z,z,201,"1,050","2,802","3,021","3,320","4,399","4,736","4,855","4,693","4,859","4,486","4,401","5,140","5,217","5,899","5,471","5,846","5,322","5,189","5,439","6,004","7,050","6,336","5,591","5,846","6,060","5,541","5,746","6,347","5,597","5,487","6,138","5,943","6,646","5,458","6,123","6,041"
Goole,Humber,Major Port,"2,166","2,227","1,775","1,890","1,779","1,880","1,959","1,448","1,351","1,429","1,582","1,418","1,404","1,402","1,816","2,210","1,953","1,739","1,595","1,686","1,706","2,048","2,304","2,435","2,760","2,648","2,650","2,711","2,633","2,265","1,913","2,174","2,623","2,215","2,281","2,159","1,635","1,936","1,848","1,291","1,377","1,304","1,327","1,379","1,440","1,460","1,242","1,044","1,228","1,158"
Great Yarmouth,Wash & Northern E Anglia,Major Port,"1,121","1,253","1,385","1,106","1,251","1,459","1,324","1,385","1,499","1,682","2,093","2,796","2,361","2,577","2,637","3,051","3,206","3,043","2,683","1,959","1,883","2,433","1,789","1,472","1,577","1,865","1,216",757,666,711,778,607,763,950,900,784,659,855,827,889,840,"1,137","1,096","1,283","1,197","1,182","1,286","1,243","1,445","1,687"
Grimsby & Immingham,Humber,Major Port,"8,347","23,659","22,010","24,186","23,341","25,925","26,251","22,153","26,494","27,631","29,004","26,819","29,122","31,980","32,244","34,960","38,056","39,357","40,226","40,821","41,290","42,866","46,790","46,813","47,991","48,387","49,757","52,501","54,831","55,731","55,931","57,616","60,686","64,033","66,279","65,267","54,708","54,029","57,227","60,091","62,614","59,370","59,103","54,403","54,034","55,617","51,245","45,611","50,027","50,166"
Harwich,Haven,Major Port,584,"2,149","2,285","2,778","2,871","3,286","3,257","3,171","3,130","2,894","3,418","3,731","3,880","2,894","2,601","3,004","4,035","4,225","4,430","4,685","3,612","3,490","3,555","3,460","3,523","3,281","4,059","3,990","2,623","3,495","4,330","4,264","4,221","4,176","3,784","3,739","2,942","3,141","3,090","3,189","3,638","3,888","4,550","4,565","4,755","4,196","4,273","4,088","4,572","4,382"
Heysham,Lancs and Cumbria,Major Port,"3,563",586,593,779,828,776,938,885,542,619,531,672,926,809,"1,261","1,314","1,490","1,485","1,620","1,918","2,205","2,809","2,708","3,124","4,069","3,585","3,370","3,723","3,824","3,705","4,083","3,539","3,676","4,014","3,586","3,185","3,102","3,461","4,291","4,035","3,920","4,472","4,557","4,590","4,630","4,703","4,536","4,067","4,909","5,101"
Holyhead,West and North Wales,Major Port,301,314,783,771,948,"1,002",995,"1,243","1,229",912,"1,132","1,146","1,174","1,124","1,253","1,411","1,512","1,247",908,919,"1,017","1,052","2,307","2,541","2,951","3,407","3,437","3,444","3,229","3,288","3,329","3,945","4,147","4,153","3,468","3,419","2,852","2,658","3,148","3,087","3,212","3,663","4,455","4,943","5,237","5,222","5,326","5,858","3,757","4,100"
Hull,Humber,Major Port,"9,440","7,175","4,543","4,499","4,252","3,856","3,565","3,768","3,943","4,018","3,572","4,035","4,524","5,305","5,650","5,122","5,277","6,829","7,494","8,609","8,966","10,181","9,998","9,721","10,047","10,249","10,119","10,722","10,586","10,298","10,529","12,443","13,363","12,785","12,497","12,249","9,771","9,236","9,286","10,081","10,910","10,925","10,029","10,167","9,824","9,752","9,197","9,208","9,396","8,752"
Ipswich,Haven,Major Port,"1,901","2,492","2,538","2,425","2,697","2,783","3,141","2,811","2,775","3,172","3,836","4,111","3,838","4,491","4,581","4,752","5,035","4,692","4,611","4,527","4,127","4,593","3,492","2,069","1,956","2,184","2,391","2,925","2,924","3,336","3,888","3,557","3,578","3,505","2,797","2,572","2,814","2,875","2,544","2,206","1,689","1,929","2,293","2,559","2,177","2,071","2,365","2,237","2,312","2,688"
Kilroot Power Station Jetty,Northern Ireland,Major Port,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,"1,088","1,558","1,645","1,751","1,489","1,865","1,796","1,923","1,707","1,149","1,162","1,098","1,196","1,264","1,054","1,041","1,114",977,"1,155",803,867,532,784,623,"1,039","1,121",995,895,843,656,579,501,503,494,411
Larne,Northern Ireland,Major Port,z,z,z,z,z,z,z,"2,847","2,954","3,168","3,221","3,400","3,597","3,654","3,743","3,753","3,880","4,001","3,748","3,796","4,334","4,604","4,673","3,452","3,153","3,389","4,032","4,508","3,520","4,295","4,319","4,984","5,496","5,489","5,464","5,166","4,297","4,614","4,395","2,913","2,369","2,378","2,559","2,770","2,872","2,902","2,767","2,727","3,192","3,691"
Liverpool,Lancs and Cumbria,Major Port,"31,683","28,789","23,426","22,050","19,140","16,504","15,268","12,335","11,366","9,800","11,256","10,753","10,363","10,688","10,189","19,571","20,189","23,183","24,764","27,795","30,504","29,465","29,987","30,874","30,841","30,357","28,913","30,421","30,288","30,413","31,684","32,233","33,775","33,550","32,258","32,204","29,936","30,020","32,660","32,924","31,149","30,996","31,256","31,901","32,541","32,613","34,315","31,060","34,454","33,622"
Loch Ryan [Note 4],Scotland West Coast,Major Port,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,"1,815","2,136","2,038","2,163","2,356","2,388","2,546","2,650","2,616","2,729","2,749"
London,Thames and Kent,Major Port,"64,611","63,817","50,298","53,184","54,798","52,961","52,083","54,200","48,959","46,939","46,952","47,806","51,596","53,552","48,876","53,705","54,034","58,148","52,831","48,949","50,932","51,775","51,362","52,869","55,692","57,311","52,206","47,892","50,654","51,185","51,028","53,289","53,843","51,911","52,739","52,965","45,442","48,062","48,796","43,742","43,205","44,489","45,430","50,380","49,868","53,196","54,035","47,358","51,773","54,880"
Londonderry,Northern Ireland,Major Port,z,z,z,z,z,z,z,914,777,797,806,754,775,912,758,909,792,729,795,744,789,"1,008","1,044","1,084","1,138","1,127","1,216","1,133","1,060","1,065","1,172","1,392","1,151","1,690","1,934","1,839","1,619","1,757","1,740","1,659","1,871","1,794","1,759","1,849","1,808","1,854","1,909","1,760","1,831","1,889"
Manchester,Lancs and Cumbria,Major Port,"15,816","15,951","14,520","15,417","14,159","14,628","13,545","12,695","11,593","11,963","11,402","10,735","9,510","9,754","9,157","8,215","8,063","8,133","7,546","7,484","7,438","7,686","8,379","8,529","7,939","7,409","7,825","7,687","7,879","6,279","6,088","6,634","7,222","8,049","8,079","7,438","6,670","7,084","7,355","6,438","7,489","7,125","6,528","6,134","6,789","6,789","7,307","7,112","7,354","6,215"
Medway,Thames and Kent,Major Port,"22,280","26,911","21,667","20,863","20,501","20,542","18,880","17,161","15,809","12,580","8,580","11,548","10,352","10,379","11,628","12,731","14,010","13,593","16,077","14,335","13,602","14,660","14,214","14,111","13,803","15,528","13,973","15,292","14,853","14,840","15,619","14,535","15,470","18,957","15,417","14,971","13,150","13,971","16,076","12,649","8,384","8,447","9,091","9,170","8,694","10,205","13,141","9,694","9,879","13,373"
Milford Haven,West and North Wales,Major Port,"24,845","41,296","44,910","43,465","38,798","41,236","41,480","39,295","32,526","35,956","30,743","32,067","32,375","29,966","32,669","33,264","33,026","32,180","35,668","35,592","35,740","34,294","32,473","36,587","34,518","28,783","32,187","33,768","33,792","34,543","32,737","38,452","37,547","34,307","35,496","35,875","39,293","42,788","48,699","39,832","41,105","34,309","37,684","34,768","31,990","30,935","34,951","33,583","30,322","38,902"
Newhaven,Sussex and Hampshire,Major Port,387,624,"1,274","1,405","1,361","1,327","1,335","1,207","1,166","1,064","1,328","1,581","1,608","1,822","1,794","2,062","2,308","1,964","1,191",837,"1,187","1,216",989,"1,325","1,241","1,012",461,578,998,863,949,929,876,"1,046","1,003","1,196",861,824,754,793,706,699,864,803,707,689,778,865,986,"1,140"
Newport,Bristol Channel,Major Port,"4,498","3,733","3,472","2,582","2,159","2,199","2,433","1,985","2,533","2,015","2,388","2,455","2,508","2,372","2,660","3,292","3,479","3,206","3,299","3,296","2,794","2,262","2,523","2,684","2,974","2,628","2,532","2,673","2,980","3,111","2,790","3,448","3,971","3,846","2,843","3,195","2,734","2,068","2,444","2,464","2,442","2,617","2,571","2,751","3,450","2,819","2,588","2,329","2,769","2,561"
Orkney,Scotland East Coast,Major Port,z,z,444,z,"8,999","15,564","17,752","15,407","15,647","15,867","16,057","16,053","16,089","15,835","17,111","8,031","4,491","8,609","9,164","8,520","11,852","14,097","12,879","11,448","10,483","16,156","16,998","22,798","18,407","18,812","14,422","17,934","14,534","11,249","10,592","4,789","3,241","3,244","2,344","1,729","1,054","1,151","3,945","4,615","4,852","3,470","3,050","2,670","2,778","2,222"
